top - 13:00:58 up 5 min,  2 users,  load average: 0.60, 0.50, 0.23
Tasks: 148 total,   1 running, 147 sleeping,   0 stopped,   0 zombie
%Cpu(s): 16.7 us,  0.0 sy,  0.0 ni, 83.3 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :    426.2 total,     43.9 free,    228.2 used,    205.4 buff/cache     
MiB Swap:    512.0 total,    512.0 free,      0.0 used.    198.0 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   49 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
   50 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
   51 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
   52 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdogd
   53 root      20   0       0      0      0 I   0.0   0.0   0:00.78 kworker/u+
   55 root       0 -20       0      0      0 I   0.0   0.0   0:00.04 kworker/1+
   56 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
   57 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
   58 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/u+
   59 root      20   0       0      0      0 I   0.0   0.0   0:00.13 kworker/3+
   60 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/u+
   61 root      20   0       0      0      0 I   0.0   0.0   0:00.16 kworker/2+
   62 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kswapd0
   63 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
   65 root      20   0       0      0      0 I   0.0   0.0   0:00.23 kworker/1+
   67 root      20   0       0      0      0 S   0.0   0.0   0:00.00 hwrng
   68 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
   69 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
   70 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
   71 root       1 -19       0      0      0 S   0.0   0.0   0:00.00 vchiq-slo+
   72 root       1 -19       0      0      0 S   0.0   0.0   0:00.00 vchiq-rec+
   73 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 vchiq-syn+
   74 root       0 -20       0      0      0 I   0.0   0.0   0:00.84 kworker/u+
   75 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/u+
   76 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/u+
   77 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/u+
   78 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/u+
   79 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/113-m+
  102 root       0 -20       0      0      0 I   0.0   0.0   0:00.06 kworker/3+
  108 root       0 -20       0      0      0 I   0.0   0.0   0:00.05 kworker/0+
  118 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
  119 root       0 -20       0      0      0 I   0.0   0.0   0:00.06 kworker/2+
  120 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/2+
  121 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/u+
  122 root      20   0       0      0      0 I   0.0   0.0   0:00.02 kworker/u+
  125 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/3+
  136 root      20   0       0      0      0 S   0.0   0.0   0:00.00 spi0
  138 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/u+
  159 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/1+
  162 root      20   0       0      0      0 S   0.0   0.0   0:00.06 jbd2/mmcb+
  163 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
  171 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/u+
  180 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
  181 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
  182 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/u+
  183 root      20   0       0      0      0 I   0.0   0.0   0:00.03 kworker/2+
  229 root      20   0   24916   7036   6184 S   0.0   1.6   0:00.89 systemd-j+
  234 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0+
  240 root      20   0       0      0      0 I   0.0   0.0   0:00.24 kworker/3+
  250 root      20   0   24176   5316   3976 S   0.0   1.2   0:00.38 systemd-u+
  263 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/0+
  285 root      20   0       0      0      0 S   0.0   0.0   0:00.00 vchiq-kee+
  291 root      10 -10       0      0      0 S   0.0   0.0   0:00.00 SMIO
  295 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
  296 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
  298 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
  299 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
  300 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
  301 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
  302 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
  310 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/199-a+
  320 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
  321 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/u+
  339 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
  340 root      20   0       0      0      0 S   0.0   0.0   0:00.10 brcmf_wdo+
  348 systemd+  20   0   23504   6100   5440 S   0.0   1.4   0:00.38 systemd-t+
  392 avahi     20   0    6388   3360   3036 S   0.0   0.8   0:00.17 avahi-dae+
  394 root      20   0   10948   5352   4920 S   0.0   1.2   0:00.27 bluetoothd
  395 root      20   0    7988   2576   2384 S   0.0   0.6   0:00.01 cron
  396 message+  20   0    7580   4148   3472 S   0.0   1.0   0:02.25 dbus-daem+
  403 polkitd   20   0   39972   7252   6556 S   0.0   1.7   0:00.26 polkitd
  416 root      20   0   14480   6432   5744 S   0.0   1.5   0:00.48 systemd-l+
  417 nobody    20   0    5048   2456   2256 S   0.0   0.6   0:00.02 thd
  424 avahi     20   0    6228   1576   1324 S   0.0   0.4   0:00.00 avahi-dae+
  459 root      20   0   13532   9448   8560 S   0.0   2.2   0:00.12 wpa_suppl+
  465 root      20   0   62100  11020   9624 S   0.0   2.5   0:00.40 ModemMana+
  468 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R+
  493 root      20   0   13608   7764   6896 S   0.0   1.8   0:00.09 sshd
  580 root      20   0   14732   9220   8080 S   0.0   2.1   0:00.27 sshd
  588 pi        20   0   16192   8992   7916 S   0.0   2.1   0:00.51 systemd
  589 pi        20   0   36200   4052   1928 S   0.0   0.9   0:00.00 (sd-pam)
  608 pi        20   0   14992   6516   5100 S   0.0   1.5   0:00.09 sshd
  609 pi        20   0    8584   4180   3144 S   0.0   1.0   0:00.25 bash
  623 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/0+
  624 root      20   0   14732   9236   8096 S   0.0   2.1   0:00.22 sshd
  644 pi        20   0   14992   6508   5092 S   0.0   1.5   0:00.10 sshd
  645 pi        20   0    8584   4000   3004 S   0.0   0.9   0:00.21 bash
  657 root      20   0       0      0      0 I   0.0   0.0   0:00.09 kworker/2+
  810 root      20   0   14732   9236   8100 S   0.0   2.1   0:00.25 sshd
  817 pi        20   0   15156   6692   5100 S   0.0   1.5   0:00.59 sshd
  818 pi        20   0    2144   1440   1324 S   0.0   0.3   0:00.02 sh
  884 pi        20   0    2144   1404   1324 S   0.0   0.3   0:00.00 sh
  917 pi        20   0  199016  49944  40936 S   0.0  11.4   0:01.95 node
  942 pi        20   0  218552  56052  41840 S   0.0  12.8   0:03.06 node
 1050 pi        20   0   20600   6812   6204 S   0.0   1.6   0:00.06 journalctl
 1074 pi        20   0   69200  20376  11340 S   0.0   4.7   0:05.25 python
 1079 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/u+
 1082 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/3+
 1084 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker/1+
 1099 pi        20   0    6660   1600   1528 S   0.0   0.4   0:00.00 sleep
